State/UT,Year,population(total),Rural,Urban,Tot_M,Tot_F,P_LIT,M_LIT,F_LIT,Lit_rate,Area (km2),MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes,tot_crimes_sc,total crime against women,Total crimes against STs,Total crime against children,Crime Rate
A& N ISLANDS,2001,356152,239954,116198,192972,163180,253135,146831,106304,81.3,8249,13,0,0,3,0,3,2,2,0,0,0,4,64,65,4,61,13,10,8,2,4,118,0,19,1,9,0,0,323,658,1386,0,34,1,0,184.7525776
ANDHRA PRADESH,2001,76210007,55401067,20808940,38527413,37682594,39934323,23444788,16489535,60.47,275045,2602,1555,136,871,0,871,1182,765,417,214,9,629,7220,16751,3051,13700,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,130089,278982,2933,13669,512,270,170.6980554
ARUNACHAL PRADESH,2001,1097968,870087,227881,579941,518027,484785,303281,181504,54.34,83743,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,2342,5243,0,180,72,0,213.3031199
ASSAM,2001,26655528,23216288,3439240,13777037,12878491,14015354,8188697,5826657,63.25,78438,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,36877,81418,6,4048,0,18,138.3465373
BIHAR,2001,82998509,74316709,8681800,43243795,39754714,31109577,20644376,10465201,47,94163,3643,3419,250,888,0,888,2159,518,1641,1291,147,2203,3233,9701,1050,8651,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,88432,189612,1303,4489,83,83,106.5464923
CHANDIGARH,2001,900635,92120,808515,506938,393697,643245,382686,260559,81.94,114,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3397,8397,3,146,0,58,377.1783242
CHHATTISGARH,2001,20833803,16648056,4185747,10474218,10359585,11173149,6711395,4461754,64.66,135191,880,529,45,959,0,959,207,171,36,87,19,338,4144,4812,920,3892,871,154,402,8,215,5477,70,1763,161,840,0,689,15790,38460,82898,501,3964,486,,184.6038383
D & N HAVELI,2001,220490,170027,50463,121666,98824,103904,72149,31755,57.63,491,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,350,755,0,19,6,0,158.7373577
DAMAN & DIU,2001,158204,100856,57348,92512,65692,107600,70992,36608,78.18,112,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,350,755,0,7,0,0,221.2333443
DELHI,2001,13850507,944727,12905780,7607234,6243273,9664764,5700847,3963917,81.67,16579,547,510,63,381,0,381,1627,964,663,48,74,624,3029,19276,7894,11382,165,479,2183,42,50,2011,113,502,90,138,0,432,22000,54384,130052,19,2188,0,912,392.6498864
